FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100130;1900;25;;;
100130;2000;16;;;
100130;2100;8;;;
100130;2200;5;;;
100130;2300;4;;;
100131;0000;5;;;
100131;0100;5;;;
100131;0200;4;;;
100131;0300;4;;;
100131;0400;4;;;
100131;0500;4;;;
100131;0600;5;;;
100131;0700;13;;;
100131;0800;26;;;
100131;0900;39;;;
100131;1000;60;;;
100131;1100;81;;;
100131;1200;72;;;
100131;1300;64;;;
100131;1400;64;;;
100131;1500;60;;;
100131;1600;57;;;
100131;1700;53;;;
100131;1800;46;;;
100131;1900;27;;;
100131;2000;13;;;
100131;2100;5;;;
100131;2200;4;;;
100131;2300;4;;;
100201;0000;4;;;
100201;0100;4;;;
100201;0200;4;;;
100201;0300;5;;;
100201;0400;5;;;
100201;0500;4;;;
100201;0600;4;;;
100201;0700;8;;;
100201;0800;20;;;
100201;0900;24;;;
100201;1000;46;;;
100201;1100;61;;;
100201;1200;80;;;
100201;1300;76;;;
100201;1400;69;;;
100201;1500;63;;;
100201;1600;57;;;
100201;1700;41;;;
100201;1800;31;;;
100201;1900;19;;;
100201;2000;10;;;
100201;2100;9;;;
100201;2200;9;;;
100201;2300;5;;;
100202;0000;4;;;
100202;0100;4;;;
100202;0200;4;;;
100202;0300;4;;;
100202;0400;4;;;
100202;0500;4;;;
100202;0600;5;;;
100202;0700;6;;;
100202;0800;10;;;
100202;0900;17;;;
100202;1000;31;;;
100202;1100;41;;;
100202;1200;48;;;
100202;1300;48;;;
100202;1400;44;;;
100202;1500;44;;;
100202;1600;45;;;
100202;1700;40;;;
100202;1800;33;;;
100202;1900;26;;;
100202;2000;20;;;
100202;2100;16;;;
100202;2200;13;;;
100202;2300;11;;;
100203;0000;12;;;
100203;0100;13;;;
100203;0200;9;;;
100203;0300;6;;;
100203;0400;4;;;
100203;0500;3;;;
100203;0600;4;;;
100203;0700;6;;;
100203;0800;11;;;
100203;0900;19;;;
100203;1000;32;;;
100203;1100;41;;;
100203;1200;47;;;
100203;1300;49;;;
100203;1400;48;;;
100203;1500;48;;;
100203;1600;44;;;
100203;1700;39;;;
100203;1800;30;;;
100203;1900;16;;;
100203;2000;8;;;
100203;2100;4;;;
100203;2200;4;;;
100203;2300;4;;;
100204;0000;5;;;
100204;0100;4;;;
100204;0200;4;;;
100204;0300;4;;;
100204;0400;4;;;
100204;0500;4;;;
100204;0600;4;;;
100204;0700;6;;;
100204;0800;12;;;
100204;0900;26;;;
100204;1000;40;;;
100204;1100;54;;;
100204;1200;59;;;
100204;1300;60;;;
100204;1400;57;;;
100204;1500;51;;;
100204;1600;45;;;
100204;1700;38;;;
100204;1800;31;;;
100204;1900;22;;;
100204;2000;15;;;
100204;2100;12;;;
100204;2200;10;;;
100204;2300;5;;;
100205;0000;4;;;
100205;0100;4;;;
100205;0200;4;;;
100205;0300;4;;;
100205;0400;4;;;
100205;0500;4;;;
100205;0600;4;;;
100205;0700;5;;;
100205;0800;13;;;
100205;0900;22;;;
100205;1000;39;;;
100205;1100;51;;;
100205;1200;60;;;
100205;1300;60;;;
100205;1400;58;;;
100205;1500;54;;;
100205;1600;53;;;
100205;1700;44;;;
100205;1800;36;;;
100205;1900;27;;;
100205;2000;22;;;
100205;2100;12;;;
100205;2200;16;;;
100205;2300;18;;;
100206;0000;16;;;
100206;0100;20;;;
100206;0200;17;;;
100206;0300;8;;;
100206;0400;5;;;
100206;0500;4;;;
100206;0600;4;;;
100206;0700;7;;;
100206;0800;16;;;
100206;0900;26;;;
100206;1000;37;;;
100206;1100;49;;;
100206;1200;53;;;
100206;1300;52;;;
100206;1400;52;;;
100206;1500;49;;;
100206;1600;47;;;
100206;1700;40;;;
100206;1800;26;;;
100206;1900;20;;;
100206;2000;19;;;
100206;2100;15;;;
100206;2200;14;;;
100206;2300;5;;;
100207;0000;4;;;
100207;0100;7;;;
100207;0200;5;;;
100207;0300;3;;;
100207;0400;4;;;
100207;0500;3;;;
100207;0600;4;;;
100207;0700;8;;;
100207;0800;17;;;
100207;0900;24;;;
100207;1000;35;;;
100207;1100;45;;;
100207;1200;40;;;
100207;1300;38;;;
100207;1400;36;;;
100207;1500;37;;;
100207;1600;40;;;
100207;1700;41;;;
100207;1800;32;;;
100207;1900;17;;;
100207;2000;9;;;
100207;2100;4;;;
100207;2200;4;;;
100207;2300;4;;;
100208;0000;4;;;
100208;0100;4;;;
100208;0200;3;;;
100208;0300;4;;;
100208;0400;4;;;
100208;0500;4;;;
100208;0600;4;;;
100208;0700;5;;;
100208;0800;10;;;
100208;0900;19;;;
100208;1000;29;;;
100208;1100;40;;;
100208;1200;54;;;
100208;1300;53;;;
100208;1400;55;;;
100208;1500;56;;;
100208;1600;54;;;
100208;1700;52;;;
100208;1800;39;;;
100208;1900;22;;;
100208;2000;10;;;
100208;2100;4;;;
100208;2200;4;;;
100208;2300;4;;;
100209;0000;4;;;
100209;0100;4;;;
100209;0200;4;;;
100209;0300;4;;;
100209;0400;4;;;
100209;0500;4;;;
100209;0600;4;;;
100209;0700;7;;;
100209;0800;15;;;
100209;0900;25;;;
100209;1000;39;;;
100209;1100;59;;;
100209;1200;64;;;
100209;1300;68;;;
100209;1400;68;;;
100209;1500;66;;;
100209;1600;59;;;
100209;1700;54;;;
100209;1800;45;;;
100209;1900;25;;;
100209;2000;11;;;
100209;2100;6;;;
100209;2200;3;;;
100209;2300;4;;;
100210;0000;4;;;
100210;0100;4;;;
100210;0200;4;;;
100210;0300;4;;;
100210;0400;4;;;
100210;0500;4;;;
100210;0600;4;;;
100210;0700;6;;;
100210;0800;15;;;
100210;0900;27;;;
100210;1000;40;;;
100210;1100;59;;;
100210;1200;96;;;
100210;1300;80;;;
100210;1400;67;;;
100210;1500;64;;;
100210;1600;55;;;
100210;1700;46;;;
100210;1800;36;;;
100210;1900;27;;;
100210;2000;19;;;
100210;2100;14;;;
100210;2200;13;;;
100210;2300;13;;;
100211;0000;9;;;
100211;0100;6;;;
100211;0200;5;;;
100211;0300;4;;;
100211;0400;4;;;
100211;0500;4;;;
100211;0600;4;;;
100211;0700;5;;;
100211;0800;13;;;
100211;0900;22;;;
100211;1000;28;;;
100211;1100;43;;;
100211;1200;49;;;
100211;1300;48;;;
100211;1400;52;;;
100211;1500;55;;;
100211;1600;52;;;
100211;1700;49;;;
100211;1800;39;;;
100211;1900;28;;;
100211;2000;20;;;
100211;2100;9;;;
100211;2200;3;;;
100211;2300;3;;;
100212;0000;4;;;
100212;0100;4;;;
100212;0200;4;;;
100212;0300;4;;;
100212;0400;4;;;
100212;0500;3;;;
100212;0600;3;;;
100212;0700;5;;;
100212;0800;14;;;
100212;0900;19;;;
100212;1000;32;;;
100212;1100;50;;;
100212;1200;72;;;
100212;1300;89;;;
100212;1400;108;;;
100212;1500;89;;;
100212;1600;72;;;
100212;1700;60;;;
100212;1800;41;;;
100212;1900;24;;;
100212;2000;12;;;
100212;2100;7;;;
100212;2200;4;;;
100212;2300;4;;;
100213;0000;4;;;
100213;0100;4;;;
100213;0200;4;;;
100213;0300;4;;;
100213;0400;4;;;
100213;0500;4;;;
100213;0600;4;;;
100213;0700;6;;;
100213;0800;14;;;
100213;0900;28;;;
100213;1000;48;;;
100213;1100;66;;;
100213;1200;73;;;
100213;1300;66;;;
100213;1400;66;;;
100213;1500;66;;;
100213;1600;62;;;
100213;1700;54;;;
100213;1800;47;;;
100213;1900;27;;;
100213;2000;15;;;
100213;2100;7;;;
100213;2200;5;;;
100213;2300;6;;;
100214;0000;4;;;
100214;0100;4;;;
100214;0200;4;;;
100214;0300;4;;;
100214;0400;4;;;
100214;0500;4;;;
100214;0600;4;;;
100214;0700;8;;;
100214;0800;18;;;
100214;0900;25;;;
100214;1000;40;;;
100214;1100;53;;;
100214;1200;58;;;
100214;1300;61;;;
100214;1400;53;;;
100214;1500;52;;;
100214;1600;45;;;
100214;1700;41;;;
100214;1800;36;;;
100214;1900;28;;;
100214;2000;21;;;
100214;2100;21;;;
100214;2200;19;;;
100214;2300;15;;;
100215;0000;8;;;
100215;0100;5;;;
100215;0200;4;;;
100215;0300;6;;;
100215;0400;5;;;
100215;0500;3;;;
100215;0600;4;;;
100215;0700;6;;;
100215;0800;14;;;
100215;0900;24;;;
100215;1000;36;;;
100215;1100;46;;;
100215;1200;61;;;
100215;1300;64;;;
100215;1400;68;;;
100215;1500;60;;;
100215;1600;56;;;
100215;1700;47;;;
100215;1800;39;;;
100215;1900;31;;;
100215;2000;26;;;
100215;2100;17;;;
100215;2200;8;;;
100215;2300;9;;;
100216;0000;10;;;
100216;0100;10;;;
100216;0200;5;;;
100216;0300;6;;;
100216;0400;5;;;
100216;0500;4;;;
100216;0600;4;;;
