FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100117;2300;14;;;
100118;0000;9;;;
100118;0100;9;;;
100118;0200;11;;;
100118;0300;11;;;
100118;0400;14;;;
100118;0500;15;;;
100118;0600;20;;;
100118;0700;23;;;
100118;0800;25;;;
100118;0900;24;;;
100118;1000;18;;;
100118;1100;30;;;
100118;1200;17;;;
100118;1300;13;;;
100118;1400;11;;;
100118;1500;18;;;
100118;1600;26;;;
100118;1700;20;;;
100118;1800;18;;;
100118;1900;16;;;
100118;2000;20;;;
100118;2100;19;;;
100118;2200;17;;;
100118;2300;12;;;
100119;0000;16;;;
100119;0100;12;;;
100119;0200;11;;;
100119;0300;15;;;
100119;0400;17;;;
100119;0500;18;;;
100119;0600;24;;;
100119;0700;32;;;
100119;0800;34;;;
100119;0900;30;;;
100119;1000;31;;;
100119;1100;42;;;
100119;1200;18;;;
100119;1300;25;;;
100119;1400;16;;;
100119;1500;25;;;
100119;1600;30;;;
100119;1700;22;;;
100119;1800;18;;;
100119;1900;15;;;
100119;2000;22;;;
100119;2100;31;;;
100119;2200;28;;;
100119;2300;29;;;
100120;0000;26;;;
100120;0100;20;;;
100120;0200;17;;;
100120;0300;17;;;
100120;0400;16;;;
100120;0500;18;;;
100120;0600;26;;;
100120;0700;29;;;
100120;0800;26;;;
100120;0900;24;;;
100120;1000;25;;;
100120;1100;32;;;
100120;1200;20;;;
100120;1300;17;;;
100120;1400;14;;;
100120;1500;13;;;
100120;1600;10;;;
100120;1700;27;;;
100120;1800;13;;;
100120;1900;51;;;
100120;2000;62;;;
100120;2100;45;;;
100120;2200;44;;;
100120;2300;28;;;
100121;0000;27;;;
100121;0100;27;;;
100121;0200;25;;;
100121;0300;21;;;
100121;0400;25;;;
100121;0500;29;;;
100121;0600;37;;;
100121;0700;44;;;
100121;0800;36;;;
100121;0900;35;;;
100121;1000;27;;;
100121;1100;36;;;
100121;1200;31;;;
100121;1300;30;;;
100121;1400;33;;;
100121;1500;33;;;
100121;1600;37;;;
100121;1700;34;;;
100121;1800;26;;;
100121;1900;26;;;
100121;2000;27;;;
100121;2100;25;;;
100121;2200;32;;;
100121;2300;31;;;
100122;0000;28;;;
100122;0100;25;;;
100122;0200;23;;;
100122;0300;25;;;
100122;0400;27;;;
100122;0500;29;;;
100122;0600;34;;;
100122;0700;52;;;
100122;0800;56;;;
100122;0900;60;;;
100122;1000;31;;;
100122;1100;47;;;
100122;1200;27;;;
100122;1300;26;;;
100122;1400;20;;;
100122;1500;21;;;
100122;1600;21;;;
100122;1700;19;;;
100122;1800;17;;;
100122;1900;21;;;
100122;2000;21;;;
100122;2100;45;;;
100122;2200;30;;;
100122;2300;25;;;
100123;0000;26;;;
100123;0100;31;;;
100123;0200;32;;;
100123;0300;30;;;
100123;0400;24;;;
100123;0500;25;;;
100123;0600;32;;;
100123;0700;37;;;
100123;0800;34;;;
100123;0900;34;;;
100123;1000;61;;;
100123;1100;31;;;
100123;1200;48;;;
100123;1300;39;;;
100123;1400;56;;;
100123;1500;33;;;
100123;1600;28;;;
100123;1700;28;;;
100123;1800;26;;;
100123;1900;22;;;
100123;2000;19;;;
100123;2100;23;;;
100123;2200;21;;;
100123;2300;21;;;
100124;0000;18;;;
100124;0100;19;;;
100124;0200;20;;;
100124;0300;30;;;
100124;0400;29;;;
100124;0500;27;;;
100124;0600;30;;;
100124;0700;34;;;
100124;0800;32;;;
100124;0900;38;;;
100124;1000;45;;;
100124;1100;47;;;
100124;1200;39;;;
100124;1300;29;;;
100124;1400;25;;;
100124;1500;29;;;
100124;1600;27;;;
100124;1700;27;;;
100124;1800;22;;;
100124;1900;20;;;
100124;2000;22;;;
100124;2100;22;;;
100124;2200;19;;;
100124;2300;21;;;
100125;0000;19;;;
100125;0100;19;;;
100125;0200;15;;;
100125;0300;18;;;
