O3,CO,PM25,NOX
3.0,0.2,10.0,20.0
4.0,0.3,10.0,25.0
4.0,0.3,11.0,37.0
4.0,0.9,21.0,90.0
7.0,0.599998,28.0,61.0
14.0,0.4,22.0,35.0
23.0,0.4,19.0,23.0
33.0,0.3,23.0,23.0
47.0,0.3,27.0,22.0
56.0,0.2,31.0,11.0
48.0,0.0999998,23.0,4.0
45.0,0.0999998,15.0,4.0
45.0,0.0999998,10.0,4.0
45.0,0.0999998,9.0,3.0
44.0,0.2,18.0,5.0
42.0,0.2,20.0,7.0
25.0,0.3,16.0,17.0
15.0,0.4,19.0,25.0
4.0,0.799996,23.0,65.0
4.0,1.2,29.0,90.0
4.0,1.1,33.0,81.0
4.0,0.9,26.0,66.0
4.0,0.799996,29.0,59.0
4.0,0.599998,26.0,40.0
4.0,0.4,19.0,30.0
4.0,0.3,19.0,26.0
4.0,0.5,20.0,46.0
4.0,1.0,29.0,95.0
7.0,0.9,35.0,89.0
15.0,0.599998,29.0,55.0
34.0,0.5,29.0,26.0
43.0,0.5,38.0,230.911
62.0,0.4,35.0,28.0
64.0,0.2,29.0,12.0
60.0,0.0999998,34.0,6.0
56.0,0.0999998,21.0,5.0
56.0,0.0999998,18.0,6.0
44.0,0.0999998,8.0,6.0
46.0,0.0999998,14.0,6.0
49.0,0.2,21.0,10.0
31.0,0.2,15.0,20.0
9.0,0.5,23.0,43.0
5.0,1.2,29.0,94.0
4.0,1.1,27.0,89.0
4.0,0.9,25.0,81.0
4.0,0.7,23.0,63.0
4.0,0.7,19.0,44.0
6.0,0.5,21.0,29.0
8.0,0.3,19.0,22.0
7.0,0.3,18.0,20.0
4.0,0.4,19.0,45.0
4.0,1.0,28.0,107.0
9.0,1.2,36.0,105.0
23.0,0.599998,28.0,45.0
39.0,0.5,32.0,36.0
58.0,0.4,33.0,29.0
74.0,0.3,32.0,21.0
82.0,0.2,31.0,12.0
74.0,0.2,23.0,7.0
77.0,0.2,33.0,8.0
69.0,0.3,39.0,10.0
60.0,0.2,28.0,11.0
53.0,0.2,27.0,13.0
49.0,0.3,28.0,13.0
42.0,0.3,30.0,16.0
33.0,0.4,35.0,22.0
27.0,0.5,46.0,24.0
19.0,0.599998,73.0,31.0
12.0,0.7,71.0,33.0
6.0,0.799996,62.0,41.0
19.0,0.599998,75.0,22.0
24.0,0.5,71.0,12.0
22.0,0.4,54.0,10.0
20.0,0.5,52.0,11.0
6.0,0.599998,61.0,32.0
5.0,1.0,68.0,77.0
13.0,0.799996,76.0,49.0
24.0,0.7,65.0,38.0
30.0,0.9,81.0,57.0
50.0,0.799996,82.0,49.0
80.0,0.7,72.0,45.0
85.0,0.5,60.0,19.0
81.0,0.4,56.0,11.0
70.0,0.4,46.0,10.0
73.0,0.4,67.0,9.0
75.0,0.4,57.0,10.0
69.0,0.5,53.0,13.0
48.0,0.5,45.0,20.0
32.0,0.5,32.0,23.0
26.0,0.5,33.0,24.0
20.0,0.7,37.0,30.0
22.0,0.599998,33.0,24.0
9.0,0.7,36.0,39.0
15.0,0.599998,34.0,25.0
13.0,0.599998,28.0,24.0
12.0,0.5,27.0,22.0
6.0,0.599998,30.0,32.0
4.0,0.7,34.0,33.0
4.0,0.9,40.0,44.0
5.0,1.2,46.0,64.0
7.0,1.1,54.0,77.0
19.0,0.799996,47.0,52.0
37.0,0.599998,44.0,34.0
52.0,0.599998,47.0,33.0
82.0,0.5,49.0,18.0
99.0,0.5,54.0,14.0
69.0,0.4,42.0,11.0
69.0,0.3,38.0,8.0
72.0,0.3,44.0,7.0
60.0,0.3,34.0,9.0
48.0,0.3,23.0,10.0
37.0,0.3,19.0,13.0
26.0,0.4,18.0,17.0
22.0,0.5,31.0,20.0
13.0,0.7,37.0,26.0
11.0,0.7,36.0,28.0
11.0,0.599998,23.0,23.0
12.0,0.5,19.0,19.0
5.0,0.7,25.0,29.0
4.0,0.7,28.0,29.0
4.0,0.799996,31.0,36.0
4.0,0.7,34.0,30.0
4.0,0.799996,30.0,35.0
5.0,1.0,37.0,48.0
12.0,0.9,39.0,49.0
26.0,0.7,36.0,32.0
45.0,0.5,32.0,20.0
60.0,0.5,41.0,23.0
